number,text,date,fav
1,boss cc’d bunch emails context today day acts like i’m supposed know fuck even though he’s shown bare minimum training…i can’t wait go vacation 😭,2021-11-29 23:59:24+00:00,1
2,yoooo boss letting miss 2 days im still gonna get paid,2021-11-29 23:59:11+00:00,1
3,atlanta tomorrow run election mayoral election vote woman lead city make sure get vote become 61st mayor atlanta gapol — page views boss’ views ty ,2021-11-29 23:58:47+00:00,2
4,manager  ,2021-11-29 23:58:39+00:00,0
5,lol manager really told talk team like tf don’t shit talk people lmfao,2021-11-29 23:58:39+00:00,6
6,damn always hate manager til see hot is… like fuhhh maybe sell soul corporate america u daddy,2021-11-29 23:58:36+00:00,0
7,manager,2021-11-29 23:58:33+00:00,1
8,really like boss cool 🙏🏾 really grateful cus know tough working people can’t stand,2021-11-29 23:58:33+00:00,0
9,boss sent letter recommendation made fucking sob 😭🥺🥰 omg i’m going read every day,2021-11-29 23:58:28+00:00,4
10,boss told “good work today” 🥺🥰,2021-11-29 23:58:26+00:00,0
11,took boss commuting route understand don’t need office working remote next semester🥺,2021-11-29 23:58:15+00:00,0
12,can’t make thursday night game chiefs boss won’t give friday 😞 2 tickets section 229 ,2021-11-29 23:58:14+00:00,2
13,i’ve able anything today boss leave 4 get kids vaxxed quite literally work things don’t get done ,2021-11-29 23:58:04+00:00,1
14,told boss elevators can’t come today mf audacity tell ‘take stairs’ ,2021-11-29 23:57:59+00:00,125
15,summary today  woke 5am  almost missed bus work  got work  got shouted boss  stapled fucking finger  got staple ripped finger emma  stayed extra 3 hrs work  went home bored dad chanyeol,2021-11-29 23:57:41+00:00,1
16,first day back work cali amp boss gives 100 gift card proceeds say im getting 2 raise 🙏🏽💰 soo blessed,2021-11-29 23:57:27+00:00,1
17,bet usually don’t work wednesdays boss guilted working we’ll hang,2021-11-29 23:57:22+00:00,1
18,tried quit today boss doesn’t accepting quitting says “owe best effort rest life”…… feels like scam i’m gonna anyway,2021-11-29 23:57:12+00:00,4
19,mann got one day said “sorry boss told text 😅” know annoying amp dgaf 😂😂,2021-11-29 23:56:52+00:00,1
20,boss straight doesnt care anymore just like me pretty much lets say want them some limitations apply also ✨public✨ considers nice one,2021-11-29 23:56:46+00:00,0
21,you’re not know what that’s ok shameful can’t wait tell boss lives detroit lifelong lions fan tomorrow 😂😂😂,2021-11-29 23:56:36+00:00,0
22,take job at say goldman sachs financial analyst it’s prestigious job prestigious company would call crazy left smaller company would say i’m downgrading boss dick new company pays more,2021-11-29 23:56:29+00:00,0
23,mane work playing fake sad manager ain’t realize stoned lmao,2021-11-29 23:56:19+00:00,0
24,boss likes wear smile work ♡ ,2021-11-29 23:56:13+00:00,15
25,saw posted walls going tx saw bitcoin price verge giant fu boss assuming argo crazy not,2021-11-29 23:56:11+00:00,0
26,boss playing golden amp watermelon sugar rn ikdr,2021-11-29 23:56:08+00:00,1
27,actually lady sat front pew sermon went long i preach short boss targeted would start tapping watch 🤣,2021-11-29 23:55:56+00:00,9
28,first thing i’m buying w first paycheck friday adderall hehehe don’t tell boss ask share,2021-11-29 23:55:41+00:00,2
29,happening coworker boss reached check told would speak next chance got wanted boss allowed turn camera step away meeting bit tried handle it among things,2021-11-29 23:55:35+00:00,5
30,customer wanted call manager tell literally slayed guest service ajdkckskjdkdm,2021-11-29 23:55:33+00:00,3
31,manager phone started using phrases hunger games describe mood day ,2021-11-29 23:55:26+00:00,0
32,sa dog boss,2021-11-29 23:55:04+00:00,0
33,manager,2021-11-29 23:54:44+00:00,0
34,feel like manager thinks i’m useless gonna help pack salsas immediately put refill lids ✋ 😭 sir let do also sent 30 min break took longer go could skip highschool rush ,2021-11-29 23:54:33+00:00,0
35,today heard little old zebu cow work mooing super uncommon took direction boss stop tell one day frantically searches barn stares house mooing,2021-11-29 23:54:28+00:00,2
36,it’s way boss calls gossip 💀😂,2021-11-29 23:54:14+00:00,3
37,friends boyfriend r cryptocurrency boss sent invite link coinbase someone please fucking help,2021-11-29 23:53:30+00:00,2
38,didnt talk artificial respiration enough today call honey boss,2021-11-29 23:53:28+00:00,1
39,boss says need go amp party amp come work hungover cause that’s sell cars 🤣 fuck,2021-11-29 23:53:27+00:00,2
40,confirm fired calling boss who man she must stop injustice,2021-11-29 23:53:20+00:00,0
41,boss wants 7am lemme take ass bed 🥲,2021-11-29 23:53:16+00:00,0
42,boss saying i’ve while… sir i’ve 2 half weeks i’m still learning shit since haven’t proper training 🙃💀,2021-11-29 23:53:06+00:00,0
43,axie account plan multiple respect manager 13 axie team manager invested got hack everything like poof suddenly gone feel bad managerhope karma hits hacker axieinfinity ,2021-11-29 23:53:00+00:00,2
44,tells boss i’m sick don’t want go cause might covid boss “you don’t symptoms double mask” me doesn’t show work cause i’m sick,2021-11-29 23:52:15+00:00,2
45,hood boss wanting warn ppl means harm she’s black herself trying warn white people 😂,2021-11-29 23:52:05+00:00,1
46,manager wrote amp told soothing voice ever lol,2021-11-29 23:52:05+00:00,0
47,don’t bother arguing boss giving completely valid amp reasonable excuses there’s point she’ll always think i’m job amp slacking,2021-11-29 23:51:59+00:00,0
48,im sorry vv thats rough work retail well boss going vaca rough getting til even gets back tt work struggle sucks dxlt,2021-11-29 23:51:49+00:00,1
49,emailing boss excused work ,2021-11-29 23:51:22+00:00,8
50,boss told attach two pieces wood together totally nailed it,2021-11-29 23:51:02+00:00,0
51,lembra oh boss,2021-11-29 23:50:53+00:00,0
52,paypal locked account cuz boss linked shipping info tried pay last week auuuuuauaa time eat canned food til goes ,2021-11-29 23:50:21+00:00,0
53,boss showed show it’s mid,2021-11-29 23:49:33+00:00,0
54,“ won’t letting know boss please that’s   disgusting  ” grimaced mere thought grabbed phone car keys “ please come save lunch break eating sad sandwich history books section could probably last » ,2021-11-29 23:49:25+00:00,0
